,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
3960,1.71317,86.20862,4.28172,0.0,-1.45914
3961,4.96523,71.64855,1.59866,0.0,4.55081
3962,7.26723,100.0,1.43536,0.0,7.23875
3963,3.86053,39.80367,1.2305,0.0,3.22533
3964,5.54161,86.90508,2.19237,0.0,4.5861
3966,11.33276,65.32759,5.92241,0.0,9.68483
3967,9.89828,98.01724,3.40172,0.0,8.83914
3968,16.27647,54.34961,3.18882,0.01725,16.68824
3969,11.06525,47.27328,2.14443,0.19328,11.07262
3970,7.75374,80.77694,0.0,0.0,7.76274
3971,2.34263,100.0,7.00542,0.00678,-1.99831
3972,14.10167,70.5,5.83,0.0,13.08767
3973,6.46364,99.98448,0.0,0.0,6.45672
3974,-0.725,62.11667,1.16167,0.0,-1.05483
3975,2.62514,100.0,5.6621,0.0,-1.0964
3977,15.04,100.0,0.85,0.0,4.8
3979,8.995,51.78333,3.67333,0.0,7.62683
3980,10.68083,58.199,3.04467,0.0,9.99867
3981,10.76224,48.98914,2.62517,0.0,10.25931
3982,5.81893,88.23167,1.42642,0.0,5.86733
3983,8.20141,79.73239,3.14507,0.0,7.01113
3984,9.90623,79.89656,5.04016,0.0,8.11361
3985,5.08984,100.0,3.14895,0.22421,3.26368
3986,4.25833,99.95,0.81167,0.0,4.94117
3987,4.46567,81.77111,3.62333,0.0,2.07481
3990,7.245,100.0,4.45,0.16,7.47
3992,8.04643,77.28571,4.04464,0.0,6.32304
3993,13.575,87.80357,2.925,0.0,13.41643
3994,14.88421,59.96088,3.54614,2.5,14.73439
3995,7.41833,97.06667,2.21833,0.0,6.7135
3997,5.89436,92.48929,3.81034,0.00268,3.77982
3998,7.95942,91.88475,2.71847,0.44119,6.98288
3999,4.12,79.70909,2.78,0.0,2.38945
4000,13.83745,38.91882,3.95902,0.0,13.28745
4001,7.26164,72.4678,0.0,0.0,7.2639
4002,14.96,50.9,5.98833,0.0,14.12967
4003,8.28663,64.15339,1.94417,0.0,8.06763
4004,9.72431,68.86259,0.65759,0.0,10.28103
4005,7.94183,87.1339,2.87034,0.0,6.80102
4007,3.19784,70.21672,3.64074,0.0,0.6831
4009,3.8226,75.80667,2.35933,0.0,2.377
4010,6.40167,73.8,2.7,0.0,5.1265
4011,14.25357,85.39286,2.05357,0.0,14.65554
4012,5.53657,79.95967,4.23133,0.0,3.37633
4013,7.91175,96.30682,1.08009,0.0,8.44227
4014,8.06872,89.94912,1.97965,0.62684,7.57596
4015,7.44818,67.03475,1.54639,0.0,7.34443
4016,11.30579,38.94544,3.27386,0.0,10.58965
4018,15.10333,51.0,6.92167,0.0,14.11133
4019,9.13525,64.85508,0.45288,0.0,9.77661
4020,12.17085,73.7634,3.24319,0.62979,11.58617
4021,10.93724,100.0,1.32034,0.0,11.29966
4023,7.63349,62.65254,0.59559,0.0,8.16085
4024,7.00438,80.7831,0.0,0.0,6.98603
4026,8.575,78.33333,4.28833,0.0,6.82983
4027,6.2721,74.21776,2.05966,0.0,5.88241
4029,7.28085,100.0,4.63261,0.00978,5.16152
4030,4.23455,78.34545,2.46364,0.0,2.78873
4031,6.70893,67.33929,3.96071,0.0,4.73411
4033,3.60421,99.58966,8.09828,0.0,-0.78931
4034,8.01711,94.19643,1.04379,0.0,8.67107
4035,6.01334,100.0,0.0,0.11464,6.00339
4036,13.60825,100.0,2.36042,0.0,13.73754
4037,6.63091,98.0,2.26727,0.02182,5.78382
4038,13.72667,71.16667,4.99333,0.0,12.85
4040,8.78268,87.12034,2.93092,0.0,7.91119
4043,2.43242,76.82807,4.57828,0.0,-0.76263
4044,9.53649,78.46123,2.23667,0.32842,8.98544
4045,13.22443,37.56943,2.89289,0.0,13.391
4046,1.74833,84.75,1.14667,0.0,1.56833
4047,4.4879,92.13667,0.0,0.0,4.47633
4048,2.90683,66.12017,3.84808,0.0,0.21322
4049,7.77,86.16863,1.88059,0.78863,7.29569
4050,14.6677,100.0,4.15321,0.0,14.25246
4052,13.38974,72.15385,5.37179,0.0,12.32692
4053,4.87546,75.18344,2.3582,0.0,3.67639
4056,9.33691,39.24255,3.15982,0.0,8.35582
4057,12.60161,85.65714,2.50611,0.01,12.52339
4058,4.23762,83.14667,2.7031,0.0,2.69783
4059,10.40179,62.22893,1.77,0.58536,10.21857
4061,7.38167,71.5,5.74167,0.0,4.873
4063,-1.10359,79.02341,1.39182,0.0,-1.715
4064,7.05932,95.15254,1.32034,0.0,7.23678
4065,4.46688,86.46316,3.4886,0.0,2.27614
4066,7.66063,98.26667,4.2182,0.00983,5.79517
4067,4.48103,79.43103,2.55862,0.0,3.01241
4068,11.73517,35.03931,3.32759,0.0,11.07534
4069,10.5285,100.0,2.60407,0.0,10.0255
4070,7.22117,99.98302,5.42509,0.0,4.75642
4071,7.40543,92.58333,6.44654,0.0,4.74167
4072,13.68333,79.6,5.11333,0.0,12.77533
4074,13.70667,78.5,6.53167,0.0,12.42767
4075,13.38727,68.47273,4.35818,0.0,12.65582
4077,2.42429,71.16207,3.00602,0.0,0.25672
4079,13.68305,80.45763,3.97966,0.0,13.17051
4080,8.70869,63.15426,0.49115,0.0,9.46754
4081,7.29,71.3,7.33667,0.0,4.12783
4082,9.26733,90.685,1.638,29.09524,9.44367
4083,9.33213,87.72951,1.46377,34.48649,9.67623
4084,12.68179,57.02911,0.83018,21.82353,13.86339
4085,5.33586,50.72862,3.3119,0.0,3.76259
4086,7.68187,59.4565,4.09933,0.0,5.93983
4087,8.52705,81.38721,1.90249,0.0,8.35262
4088,9.12667,45.08333,1.18167,0.0,9.819
4089,5.24667,70.51667,0.59833,0.0,6.54367
4090,7.635,62.11667,6.22667,0.0,4.94117
4092,8.64667,51.38333,3.33667,0.0,7.361
4093,15.955,100.0,4.76333,0.0,15.59333
4094,4.28333,86.68333,4.75167,0.0,1.36433
4096,11.02333,75.1,3.5,0.0,10.12167
4097,9.70824,53.16059,2.68373,0.0,8.92529
4098,8.1672,82.375,1.82483,0.0,7.8755
4099,9.42466,63.655,1.49828,0.0,9.61483
4100,9.00533,99.23,3.706,0.02367,7.53933
4102,6.53788,97.19828,1.50236,0.0,6.60397
4104,8.97034,66.22559,1.80051,0.0,8.84424
4105,16.23069,55.89069,6.05328,0.0,15.69966
4106,8.34786,99.12203,0.26169,0.0,8.84831
4107,9.59083,86.10533,2.31092,0.0,9.11533
4109,7.33666,67.7061,3.62736,0.0,5.69153
4111,-0.19555,68.439,0.0,0.0,-0.18633
4113,4.23935,86.45333,5.7608,0.0,0.849
4115,5.4809,84.12712,4.98003,0.0,2.73136
4116,13.91842,100.0,2.61421,0.0,13.89842
4117,3.38667,52.03333,1.57667,0.0,2.85117
4118,-0.94509,68.94466,0.51916,0.0,0.45534
4119,8.49112,64.27627,2.69695,0.0,7.82831
4121,11.1595,97.25833,1.109,16.23684,11.89017
4122,7.43198,99.63469,2.27857,0.0,6.68347
