,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
13008,23.53167,85.0,3.23333,0.0,25.0915
13009,22.01186,100.0,0.95763,0.0,23.95915
13010,30.91475,54.34426,4.68033,0.0,33.37164
13011,24.40188,93.04375,1.405,0.0,26.41313
13012,23.41467,96.44667,3.01365,0.0,25.02017
13014,29.54167,61.66667,5.495,0.0,32.29117
13015,27.34051,76.24661,4.64254,0.0,30.08831
13016,26.91694,66.16565,1.12484,0.0,28.41226
13017,25.80651,62.2573,2.92163,0.0,26.80444
13018,25.23033,83.41,0.38867,0.0,26.29267
13019,20.35117,99.92333,2.82467,0.0,21.4565
13020,22.99603,90.23448,4.23148,0.0,24.31983
13021,26.35579,62.97912,3.05772,0.0,27.41965
13022,30.43019,58.82094,3.1534,0.0,33.34868
13023,22.13136,59.39831,2.4378,0.0,23.61034
13024,20.54233,69.74683,0.554,0.0,21.91883
13025,26.04639,68.08262,3.50311,13.13158,27.27639
13026,26.33,54.06667,3.44667,0.0,27.01083
13027,21.63153,92.50678,1.52742,0.0,23.28915
13028,23.27441,88.81186,4.08063,0.0,24.67695
13030,22.79377,99.91311,1.81918,4.53738,24.52967
13031,29.27833,68.36667,4.47833,0.0,33.02767
13032,26.7229,63.06742,3.73685,0.0,27.93661
13033,26.97317,60.5915,1.65975,0.0,28.1215
13034,25.77197,59.48623,3.84611,0.0,26.69131
13035,20.58417,99.98,4.08733,0.0,21.43733
13036,25.4323,82.98361,0.9518,0.0,26.62246
13037,26.99814,62.79475,3.84254,20.0,28.27254
13038,22.61167,97.86667,2.17833,0.0,24.22433
13039,23.40167,87.0,1.87667,0.0,25.18717
13040,20.18117,74.86883,1.56938,0.0,21.70917
13041,23.48644,89.91864,0.83178,0.0,25.60305
13042,26.32035,59.26,1.24612,0.0,27.35526
13043,21.51918,99.3623,1.12351,0.0,23.33475
13044,27.61492,74.94254,3.23536,0.0,30.51
13045,27.55833,60.33917,3.33,4.66667,28.83083
13046,20.56767,79.89667,2.438,0.0,21.76317
13047,23.4077,82.84262,6.02851,0.0,24.64902
13048,23.8695,64.8385,1.926,0.0,25.7145
13049,23.32459,72.19672,4.88689,0.0,24.64951
13051,23.1378,67.5478,6.74534,0.0,24.29949
13052,23.23339,78.08903,1.33968,0.0,25.11113
13053,23.41082,73.25164,6.25131,2.62295,24.62295
13054,23.59,88.08333,0.71167,0.0,25.745
13055,24.31948,68.33638,2.15943,0.0,26.17138
13056,29.96167,53.73333,2.18333,0.0,31.61283
13057,21.16746,99.84576,1.67407,0.0,22.69356
13058,24.22483,93.85,1.90167,0.0,26.13672
13059,23.65183,71.98517,3.534,0.0,25.2655
13060,24.88833,78.5,3.395,0.0,26.52167
13061,28.42869,59.45951,3.09393,0.0,30.02246
13063,20.59639,64.93541,2.21223,0.0,21.88787
13064,18.97271,68.00424,1.63915,18.72727,20.23068
13065,20.8835,100.0,2.614,0.0,22.0935
13066,22.53217,88.70667,1.13167,0.0,24.464
13068,30.02782,65.00436,2.46018,0.0,33.91145
13070,30.80897,61.60362,2.80862,0.0,34.86983
13071,25.28968,100.0,4.63194,0.0,26.69226
13072,18.13678,96.94746,0.0,0.0,18.13678
13073,23.41667,53.85,5.675,0.0,24.6785
13075,23.02131,81.72131,3.2918,0.0,24.48164
13076,22.1285,100.0,2.69533,0.0,23.49817
13078,22.90305,83.34407,0.07746,0.0,23.21797
13079,26.06017,100.0,4.78379,0.0,28.80914
13083,22.66344,92.38033,1.90705,0.0,24.37148
13084,31.95547,40.00396,2.15925,0.0,32.19509
13085,24.17,55.71,2.45,0.0,26.03
